page	text_sha256	characters	word_tokens	english_heuristic_tokens	indonesian_heuristic_tokens	heuristic_flagged	flagged_line_count	disposition	untranslated_instructional_or_exercise_prose
1	5e0b8aabcf4c2e2e2ba3af6d63f73699cd506b23049f40457f75106013717e4c	498	34	0	3	False	0	PASS_INDONESIAN_READER_PAGE	False
2	40a8d657720f13c75eec85532be91b2d63afb2ace74c5842d119dd384cf221f1	1137	152	1	34	False	0	PASS_INDONESIAN_READER_PAGE	False
3	185deff90b77cc46e88b6bb95f440bc518a6fa1719a96d8d348b0525bda8935c	2924	83	1	41	False	0	PASS_INDONESIAN_READER_PAGE	False
4	9102636b643f32e75259a8fc2fe00805af68aab48900ce580db0a68db174de2f	2505	300	1	110	False	0	PASS_INDONESIAN_READER_PAGE	False
5	31d49866356adb748c56e1290abc3f9be725cfcd2960517a9043bdd2c94b91f7	3299	427	1	129	False	0	PASS_INDONESIAN_READER_PAGE	False
6	e547134d72298aad691744cc7a6ce8c873f47b4fa07b0e90ff9c07eed5740e79	1060	114	0	45	False	0	PASS_INDONESIAN_READER_PAGE	False
7	c78243a20848322c1a9ef7c64330fb1310d59fe9694cd3c5aa561b84ca166507	224	18	0	7	False	0	PASS_INDONESIAN_READER_PAGE	False
8	29ace64d7d3a66b5e8969d1901b8297e49c4fbbbf053bfbf69aa5ffabf291cc7	599	75	0	24	False	0	PASS_INDONESIAN_READER_PAGE	False
9	32b97d37db9cbdacf88e6999bad321272fb14fc36612cad8e82965ba2c232b78	3888	403	0	135	False	0	PASS_INDONESIAN_READER_PAGE	False
10	080347d89129bc79b7a990e1f415815ea52ee390b677ce7e89a77145a6cd5134	3205	365	0	122	False	0	PASS_INDONESIAN_READER_PAGE	False
11	ae539336606f364cb62f9ce32124ef99cbdc5a711c8d9eeef09e0f0d6f4801ef	4479	496	17	134	True	2	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
12	a979496e9983d6f3a516a02a4f9da83f2bb850f3176cf7d0ab2e4d0dae9a9910	3816	341	5	108	False	0	PASS_INDONESIAN_READER_PAGE	False
13	71625ceb112b4761312daa76253c2bc3b6ccc162e2115a0cd61d083bf150b32a	1896	233	0	100	False	0	PASS_INDONESIAN_READER_PAGE	False
14	c07a7647ccfc9f5a940555973b176cb5eeb55d0694dc31d895ce9ffb7580c16a	4321	228	12	48	False	0	PASS_INDONESIAN_READER_PAGE	False
15	465140b77a0c43443a8f878393607dbb52b35ec99b0e572ce8db0510bdbcfbd1	3808	424	2	149	False	0	PASS_INDONESIAN_READER_PAGE	False
16	95c37a1c5be4df1cd9ce644abd94db37fd102420483c3df65ecf3c164617e4c3	3594	341	2	118	False	0	PASS_INDONESIAN_READER_PAGE	False
17	ab5748fa78ccbe5c74d7f3b0b4fcba76a12d4b915d36a21de148a76368b94858	2708	287	0	107	False	0	PASS_INDONESIAN_READER_PAGE	False
18	f65db6d2b1a4fce14925b73179d7f052b7c361b074ceda199ce32742dda6a168	3569	397	0	147	False	0	PASS_INDONESIAN_READER_PAGE	False
19	42c212a45a2133044173430fb5762910c6c73a32c2c77f16d5ee4d554100fd26	4372	554	21	141	True	3	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
20	513cfceb596c8cfdf789b4302ba87e2a441130269c5f5d8033893b4b24d92e77	5433	560	24	153	True	3	PASS_PRESERVED_LITERAL_DATA_CATEGORY_AND_BIBLIOGRAPHIC_TITLE	False
21	aef574c8a4731cce967e60bff9589f778218299c22a4c9d84e5c501abcabed4f	1836	220	3	61	False	0	PASS_INDONESIAN_READER_PAGE	False
22	1ae6f27b94646a08d71d8349f3399e0bf4de6b82aaae099d6fac8dcb596cc116	3601	419	0	143	False	0	PASS_INDONESIAN_READER_PAGE	False
23	3c6a0f41ef453ae0a5b36dd668be53162cc6aeff1e654954a48c4a3a97b2dc6e	2175	227	0	82	False	0	PASS_INDONESIAN_READER_PAGE	False
24	efef4cb783c6809abb0064f837f2b36b9511248b13743869d26e660c9081aff4	3018	320	0	123	False	0	PASS_INDONESIAN_READER_PAGE	False
25	18044b0b0edd4d243b4a61bdbda8cfef6197e3a6c5ffa0eb892b33920a98d342	4145	469	0	146	False	0	PASS_INDONESIAN_READER_PAGE	False
26	506fd4a73ef1d7ed6999dbe31e68d6a695e4f9d015d9de8298b1bbfa87f5c9dc	4633	553	2	209	False	0	PASS_INDONESIAN_READER_PAGE	False
27	175b53d029808bf6539f3714785eb7c97977a36b5dd09a0361cbd05f5cf1b451	686	56	0	19	False	0	PASS_INDONESIAN_READER_PAGE	False
28	e73108b653545f92ec43ee66a11b72a691b143d9b96eb6285c189d12e10174ba	1576	93	0	32	False	0	PASS_INDONESIAN_READER_PAGE	False
29	12a98c3c0ec1d2d7619eee120e8648192de2ed8f3f141f47bbfd7f7973f88717	4395	560	4	211	False	0	PASS_INDONESIAN_READER_PAGE	False
30	66dd0aa6cd82c7603b6461ae932ee74db837febb5703d822a220b8ccfd66f750	4757	480	6	161	False	0	PASS_INDONESIAN_READER_PAGE	False
31	406d0256752eafefa82da0067b5bb41e23ddf09895879fbe95ae19694eec2796	4747	615	15	191	True	2	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
32	e075257cc48bb891b71be8ffea22296b78c5d88589b4986ec9ea20166839a69b	2503	296	14	64	True	3	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
33	343ed27a6ff4786b4271ab7560682ffe717b38a9480a3023b208a48f31d04f61	3734	449	1	148	False	0	PASS_INDONESIAN_READER_PAGE	False
34	8f06a72815f85b7fbc80c3db7e02f859350e531ac06573219d8e4c0714ecc8f5	3505	75	0	22	False	0	PASS_INDONESIAN_READER_PAGE	False
35	b26dcc29cd483bead0f6f2a3bfffa6d80a4cc0b40c24eeb7be793cd5a85810bb	4820	594	0	160	False	0	PASS_INDONESIAN_READER_PAGE	False
36	c5d0d1b5cb671b8ea3911b56300be1810ebf3ffd23462750740b6e3b5e9add9e	4822	589	10	173	True	1	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
37	e43126b416ff748be824f153e9e8e0dcee31c7764944645654d9d042e12e9eb2	3927	504	9	159	True	1	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
38	7b5ad58ffb263c3a8c040c581671f1fee77ecd9ec50858527e6018009838cfc5	5175	568	12	144	True	2	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
39	ba790ed0012cbd260c48f8e684093c1919c50858372948beadfa15d99ad5dd35	4878	443	14	100	True	2	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
40	7f11e0ac7204db34241887754671cf5a1697b1fa11b4750cf91780ab91c33258	152	13	0	5	False	0	PASS_INDONESIAN_READER_PAGE	False
41	454ef601116def7071784a54c17440acbea679603ecf52b4eb70ceb6736a57cf	677	85	0	28	False	0	PASS_INDONESIAN_READER_PAGE	False
42	be3f028833fa8906e2dad1a64cf43af91122a3fa7a682a8fdd1056d33d583c67	2761	283	0	105	False	0	PASS_INDONESIAN_READER_PAGE	False
43	9ce1ba93cc7c4b69a2be6507a4808e83bef24942697f8fc5fb349e4e1ae08b9a	2434	205	1	69	False	0	PASS_INDONESIAN_READER_PAGE	False
44	a0cff31689e2610a63be17c62ec072c2a5a138b4ef529768183f79d04711f172	2984	286	0	115	False	0	PASS_INDONESIAN_READER_PAGE	False
45	dcf048bb88cd4a8df0acc4e26b200dc7f83256903f1465785de364cb6bbd0060	2925	325	0	109	False	0	PASS_INDONESIAN_READER_PAGE	False
46	b8ba7eb0834c90ec6694d9738938217d8afaf2643fd60c631fdfd5c5ee8a70d6	3301	322	3	119	False	0	PASS_INDONESIAN_READER_PAGE	False
47	03c826d6c27c66a0f9a736a02955ddc39762c60db5b18873789023ad9eea929a	3512	455	0	146	False	0	PASS_INDONESIAN_READER_PAGE	False
48	4cd3261311d3303dc9c40c630cd02be90db7486dfeb4fbad284e50065cc85c79	3405	245	0	93	False	0	PASS_INDONESIAN_READER_PAGE	False
49	9b2a69ecffcc2b1d1d5644542fa56488569da2798882370523635b0961988c20	3357	379	0	160	False	0	PASS_INDONESIAN_READER_PAGE	False
50	5a5ba722f8a7fe88299b3013bb519fbd3247e6e67d106ba501b7eb792406d696	2066	136	0	49	False	0	PASS_INDONESIAN_READER_PAGE	False
51	747945197ee4c09bea562a71e73f8f6308f63ae50d3dcbf0eb1b17e1d18f6ed9	3449	453	0	156	False	0	PASS_INDONESIAN_READER_PAGE	False
52	9b0cbbac2692e13b6c30fe3a1097175cb07bf786290801273de90997f474b9a5	2948	223	2	84	False	0	PASS_INDONESIAN_READER_PAGE	False
53	e80c4d55de9e48ce8c5455890473de3778a7b23ce505a17f23664d047b3f32f2	3125	307	5	113	False	0	PASS_INDONESIAN_READER_PAGE	False
54	e592afade9443ebd9de9626b1c383542851ee4e6d348df36c138d4d8c485e6c8	2999	224	4	83	False	0	PASS_INDONESIAN_READER_PAGE	False
55	45548a2fc748c2721781b4643185ca13ad36d1e1cadbaed5447ad967cfbfed4b	3173	319	2	105	False	0	PASS_INDONESIAN_READER_PAGE	False
56	e75e2c9a06724e5ea55e4722a95f3d6f56eb55738445b2aab75570137acb0c91	3829	231	9	54	True	1	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
57	4c2d5394015d9e85594f6752e086a1bb4adb7a0405d11e77df9cb3f1ef196291	3774	395	3	143	False	0	PASS_INDONESIAN_READER_PAGE	False
58	b327d55e97fb814015429dc27ac7c768255f7ffffa18008ff08e39af4c291041	4702	239	2	75	False	0	PASS_INDONESIAN_READER_PAGE	False
59	8c4c5bf46287eb395b4256c6edbd5edc4b03cf138a9da37769d091ef5397dbdd	798	96	3	25	False	0	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
60	7a4091bb5dadd4d493f99f839e581abd03767061856674c15840d9eed4a466c1	3553	309	2	91	False	0	PASS_INDONESIAN_READER_PAGE	False
61	4819866c342f8b7f67d1977caa52709be1f8b2987ea518db15947dd7d6369b47	2998	202	2	68	False	0	PASS_INDONESIAN_READER_PAGE	False
62	eb830dc66f087308f2a1ffbd3947f505f29e1326154faebb682c0fadce57e49d	3057	276	0	113	False	0	PASS_INDONESIAN_READER_PAGE	False
63	8786ad0fa97cae9d5f39e613438853e49b652d96777161bc6b9f4a401e952e41	3623	278	0	98	False	0	PASS_INDONESIAN_READER_PAGE	False
64	141442071a5b72e7af7fe3e85526e644892c7517cca27311b9b5e7a6e7335eb0	3088	337	4	115	False	0	PASS_INDONESIAN_READER_PAGE	False
65	b64c9df4106dfb17c8b7307483b71284950bfac25fd0f1bbe508d0ed4b8a9431	3536	435	1	137	False	0	PASS_INDONESIAN_READER_PAGE	False
66	7995b4f725e0f250f9cd7c0ee82aa977d6668cb5943fb84d178ea9b0c6189fea	4301	280	3	70	False	0	PASS_INDONESIAN_READER_PAGE	False
67	c2701aaa4d7500ba40f6b345d90c21ceb234b1b33be14bb7f38bd59d284b2f1b	2202	211	2	57	False	0	PASS_INDONESIAN_READER_PAGE	False
68	e338226e8289c2a56979e91bf7d3aac9820e6f9062f80807aa6db502b729ff28	2112	158	0	52	False	0	PASS_INDONESIAN_READER_PAGE	False
69	52287272e2d1f32644902b25510294c3236ae014045e8bfbd8bb805b77b0e4fd	4220	171	0	47	False	0	PASS_INDONESIAN_READER_PAGE	False
70	97628aab9ddca56bdb4ef050c5421294da8810072abf2d3f7307431e88b13d47	5057	416	4	106	False	0	PASS_INDONESIAN_READER_PAGE	False
71	7fd0836130a24d7df3b9b5985b677b2aa11d9b125fd9db531d47710bab708132	2023	214	4	40	True	1	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
72	e16c741d8280b703fbc9b49bad79c7474c33717a4fec57a517d6abebcf4ccd33	3160	322	1	101	False	0	PASS_INDONESIAN_READER_PAGE	False
73	3eddd54a5b82314f2a140df0574627d784a41e99722ab52551e256c5cc60a751	4017	514	6	195	False	0	PASS_INDONESIAN_READER_PAGE	False
74	a84df09c6e0833f8490536fab8e6b139629700b059303b6e1b23b98becb3b4ab	3479	311	2	114	False	0	PASS_INDONESIAN_READER_PAGE	False
75	6dabd4e5eb7e14a88a4ff8a4896d68303fa5b0af072a5380a76a55d17d5ad6d8	3324	383	6	126	False	0	PASS_INDONESIAN_READER_PAGE	False
76	079bb56ae7dfa978e9942388e56dc2fbf68643c5cec956a25635c96f397dea26	4986	502	11	162	True	2	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
77	1d28dd8f1f6f01ad32bb7ed246679e7deec9d9c45fedf7cce15005612415d548	3925	364	5	114	True	1	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
78	298386e576eadc255e9edb704f89eb663e1c663f1b28f2ccec14baea2e25bd50	3777	336	3	109	False	0	PASS_INDONESIAN_READER_PAGE	False
79	0b23c9bf59db607e2e541d7a17cc078541f1bb9ae2f66c3e921e21ddb73b126a	3675	201	2	68	False	0	PASS_INDONESIAN_READER_PAGE	False
80	cf855cb63584fa2b428abfa37c804fe2e829052cd40724e7fffc967a6914e3a4	962	49	0	15	False	0	PASS_INDONESIAN_READER_PAGE	False
81	670f9ac2ebe380577b2272f14ad7da2e8109086ee9b88be080559dd0e0961490	215	15	0	8	False	0	PASS_INDONESIAN_READER_PAGE	False
82	650085f48669d4b018cb74a96b850d31914f273217515961850a1e642ab2d3f7	658	81	0	24	False	0	PASS_INDONESIAN_READER_PAGE	False
83	ca9b2840169f1b8f6b62d342031237eb68f645c9c9f06fa7ca6bb0fdd1eb574b	2065	234	0	94	False	0	PASS_INDONESIAN_READER_PAGE	False
84	3c781646e5232f6f4416b7e6d96695ff983894efee9fbbccaa24475bd3aa6a00	2681	257	0	92	False	0	PASS_INDONESIAN_READER_PAGE	False
85	02af95cb6e57af71d0577621a1f7791f988b9d2e6a79fbe2a08327932caa0052	3134	372	10	125	True	1	PASS_MATHEMATICAL_SYMBOL_HEURISTIC_FALSE_POSITIVE	False
86	85de61a431fdf01a8b696ef8aea92897eef925bd449aa9605f2c5c2433bcaf55	3619	385	23	119	True	1	PASS_MATHEMATICAL_SYMBOL_HEURISTIC_FALSE_POSITIVE	False
87	66521678ce8f7134b96759fc2350a5d5c0c4ec4f4d1f9254329f651bf258515c	418	44	0	12	False	0	PASS_INDONESIAN_READER_PAGE	False
88	c26106d4744c15c4edfe18392616e890b3f5fbb80947d48676ea0c3c839f1841	4304	375	12	96	False	0	PASS_INDONESIAN_READER_PAGE	False
89	1104842e3a2a3cfeea1b9b6c181673f9814525f84ec17cf19020ae2fc17cbc7c	3326	339	22	90	False	0	PASS_INDONESIAN_READER_PAGE	False
90	1570299ab63cd6990ae3cf6b87440b9746b13a3a88104f537f7229c44cffdb61	3048	207	7	71	False	0	PASS_INDONESIAN_READER_PAGE	False
91	93c610b686f8aed7037f94ff749ff9f4ca0af55cdee9f997c5a5d9efed637fcf	2715	277	7	86	False	0	PASS_INDONESIAN_READER_PAGE	False
92	710538c820282c572e670aa9943a00e3bb80014776dc4900f2bb93e335f253aa	3282	378	21	87	False	0	PASS_INDONESIAN_READER_PAGE	False
93	5c9008a8b00267e377fbc1427afd3e503990bf7bccc06bcc155e3a6df9b947aa	2747	300	9	95	False	0	PASS_INDONESIAN_READER_PAGE	False
94	a24962f4471395ebd02407789896e433f025f49fe50c1d54ad5b0724412832a5	3160	345	11	101	False	0	PASS_INDONESIAN_READER_PAGE	False
95	2f33a7c37640d69b8b7ff031f8d486240c368c34a4760e11166da9b70b2621aa	738	77	8	19	False	0	PASS_INDONESIAN_READER_PAGE	False
96	12ea8543917a1335049c11a1dbc5e4d6dc7af9545999fbb9f4c8fa190a1b861a	3365	397	9	95	False	0	PASS_INDONESIAN_READER_PAGE	False
97	03dce7264e66950a368e359f6e3b268bdf170f575511dc14ed2399a30db3ca13	3267	421	15	98	True	2	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
98	8acdf042709995e88afa821add70fdab7bbcbb7e18785b28a4903aef249a1305	3271	315	7	74	False	0	PASS_INDONESIAN_READER_PAGE	False
99	fc8a52aaa4634e2556aa8036f7db2b358defe75146280b56bc9ddffd6e10df33	2686	229	4	78	False	0	PASS_INDONESIAN_READER_PAGE	False
100	8b2cfd73ca7f0c760bdbcd4298511989a6a3debefb3e5d9b82be79af8d0b7301	3285	285	3	121	False	0	PASS_INDONESIAN_READER_PAGE	False
101	9ff0c9ac58d6f055fed66196b66db3b2f5fee8423cb62a1f8045d7ba96718edd	3656	351	5	129	False	0	PASS_INDONESIAN_READER_PAGE	False
102	87e58d185fcf66803a2461d0381a02914cc2643becbad3b6dc0e7b32ebdcc4fd	3946	406	6	132	False	0	PASS_INDONESIAN_READER_PAGE	False
103	7e7c4b15f089a30caa9a1edfe06dae1956c7bb64052f512350bea3ae137126b2	3853	310	11	102	False	0	PASS_INDONESIAN_READER_PAGE	False
104	28a7ace73522ffe353161dc50ea23648cfccd9dc9271e3e405de867fcaba25a7	2902	310	11	108	False	0	PASS_INDONESIAN_READER_PAGE	False
105	4e6ace661d03cbbef83b0b985b2cd4ed7c99f803d16db003b83757603a680e11	3261	349	5	104	False	0	PASS_INDONESIAN_READER_PAGE	False
106	b607bca2536a37fe6886a904d41860fd23902b0f7bb5a2d4e033a8f5b0b90509	3084	245	2	77	False	0	PASS_INDONESIAN_READER_PAGE	False
107	7b19a041c80dff5034f39eff1479adf2f001b39193cb4ecc6bf510a3d85d75bf	3051	271	30	83	True	1	PASS_PRESERVED_LITERAL_DATASET_OR_CATEGORY_IDENTIFIER	False
108	0176a160970f0db9a44cdead202e7d629d21bd8c5a7256b5ab694d730121f8d6	2570	200	2	66	False	0	PASS_INDONESIAN_READER_PAGE	False
109	60d486c3692d6546e4f464dcce1582798dd0f7850ea73ab474f5a392c978dd3d	3488	281	0	69	False	0	PASS_INDONESIAN_READER_PAGE	False
110	2560d690d9e239c31753fb38dbaf04396c895ed6ab215ed1f1fc4f5395a4e08c	3437	397	14	112	True	1	PASS_MATHEMATICAL_SYMBOL_HEURISTIC_FALSE_POSITIVE	False
111	62b5aa7731ab954725daaa59c2aa9e7c132289fcc4aa2cce0b884de1b5227d46	3622	292	19	61	True	3	PASS_MATHEMATICAL_SYMBOL_HEURISTIC_FALSE_POSITIVE	False
112	3a6d6f4155368ff507fed8b4da4cfc01bc9555814b57f1c99f3aad13ac04a000	1758	160	9	43	True	1	PASS_MATHEMATICAL_SYMBOL_HEURISTIC_FALSE_POSITIVE	False
113	c721edfd80d2cad61fd592a7af2863cda66fc047350e359e196f374aec616fe0	3123	334	18	69	True	1	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
114	1ef793a5d38f238913222aa3d686cc07a3bc6194330b3c041d3acaff3b40ce3d	3796	298	5	57	True	1	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
115	4229a07f77d285e3c7993c590a22189d24f86672fbd6e2f9540f9b725ded1ef8	4395	494	9	120	True	1	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
116	d2c4eff538b25b7f9cbd1aa8a9627fd7df01b200856aff53ba7f5815ad741daf	2679	290	0	115	False	0	PASS_INDONESIAN_READER_PAGE	False
117	a3111f2a45cf5aaee0aae5d0a86278d2ca9431a8a0d8d79195ff0becf8220dc7	3722	404	2	136	False	0	PASS_INDONESIAN_READER_PAGE	False
118	248c60ac3acd6e2fdaf68a3dbdecec93ffbb5aaf6b5f7bea400ed9671c4f44ac	4396	492	5	122	False	0	PASS_INDONESIAN_READER_PAGE	False
119	d9eb10061c1b45e23b3becff5ae34131168f4a33ba00642dff6d4b931bc9eeb4	2491	297	1	98	False	0	PASS_INDONESIAN_READER_PAGE	False
120	1cc2fb4fbe587744933454de727cc60bbe83951cd3f05b81d0c32732c915bd4d	2461	205	0	98	False	0	PASS_INDONESIAN_READER_PAGE	False
121	54d262a6706b00d7c86bb0f7eb7cc444843ed52ac4fbba669a397e0d6af94ecb	2106	206	0	92	False	0	PASS_INDONESIAN_READER_PAGE	False
122	4514f132ee6bfe65f89641708f4133ebe8d7d793595df72b37a4acc0445dd354	3355	263	0	95	False	0	PASS_INDONESIAN_READER_PAGE	False
123	06e17716afe671a7fbefc79f44f0d8c80083fba172311855e590c186c5dfd1d7	3084	334	2	96	False	0	PASS_INDONESIAN_READER_PAGE	False
124	9ba4079f9d3370b692ac23f9589382265ab672ad3775a34de137038ae384df0c	3355	385	2	133	False	0	PASS_INDONESIAN_READER_PAGE	False
125	0ef4250157d653c1f7634c72bea8739f5a2e847a3849258e3cb09ee9d98b6eec	2806	344	3	122	False	0	PASS_INDONESIAN_READER_PAGE	False
