id,affected_id,category,summary,disposition,confidence,status
02514305-3656-5891-a0ae-8a31351f55b0,b9823605-b359-533a-9cb9-84628fa32225,documentation_count,,,high,active
027ad406-4211-5e04-b264-a211d8e038c0,ef25e2c4-b83a-58be-bfaa-8fe6b5fa5d63,source_grammar,Public answer 17(d) contains the malformed phrase `a dating choices`.,applied_in_isolated_b010_candidate,high,active
02f1c778-f02e-5fa2-8609-860e5c9bc088,a485ca16-e7af-5fc9-a661-2481b3a87b29,source_accessibility,Accessibility text repeats height where the intended location is at $137.,applied_in_terminal_b012_candidate,high,active
038e919d-6132-527b-8e0e-462ee1837518,ef7f55d2-6426-5c6b-a525-29e747da8d0b,page_flow,,,high,active
05d3e4ae-2b62-51d0-9a52-83c2732e8cde,a8faf5b0-451c-5cc3-b492-052fc857d718,grammar_missing_article,B017-C006: high-confidence upstream copyedit candidate,recorded_not_applied_to_authority,high,active
06c8e6ba-b292-59fd-ae1c-75265e77422e,06b28e64-c231-50b0-b1f6-648ba4ba5102,source_correction,B014-SC006: the heights of male adults in the US is nearly normal,applied_in_terminal_b014_candidate,high,active
0754b7bc-86f9-54e8-8be7-876c1d2f2cb3,8c17e7f7-9433-5397-8c68-2d980f9a0f73,statistical_wording,,,high,active
084d4201-d8b1-54a8-a46e-0b827d501671,5172495b-cd2b-5f34-b695-29ce4bc07662,prose_grammar,,,high,active
088ee0b9-7833-55ff-b938-6aa4b0400795,ef7f55d2-6426-5c6b-a525-29e747da8d0b,placebo_causation,,,high,active
091299c0-c4ac-59a3-9306-1aec296d71e2,e0a39794-bf97-5b87-871a-1ef69e6dbaf0,corrected_public_answer_values,,,high,active
0979c4d8-b360-565c-a46f-36443b5b3861,18b41b7a-5d41-55c2-ac5d-22a7da096c0d,stale_dormant_comment,,,high,active
0ac94edf-89de-5660-b0b8-9555eaf18dcf,b9713b11-3896-5f98-b45d-dbd8d50965d2,,,,high,active
0c5a474b-68e3-5fc9-98b9-4ab40411d821,a766f9cd-f941-5953-b2d9-9d5f0b9a8764,layout_pagination,The default 4 mm pre-exercise spacing forced only EoCE 28(a)-(b) onto an otherwise empty continuation page.,applied_before_terminal_b011_translation_gate,high,active
0cb9964d-2ff4-5b17-92c1-b4d1f72b3ab4,06b28e64-c231-50b0-b1f6-648ba4ba5102,source_correction,B014-SC009: ch_distributions/figures/eoce/GRE_intro/GRE_intro.pdf,applied_in_terminal_b014_candidate,high,active
0f64dce5-24a1-550b-a0ef-197dd2be431b,91fc3301-cb1f-55c9-be90-4bcb58dca050,accessibility_point_count,,,high,active
11f9fd8c-5056-5f5d-9460-65c3e24d234e,02e58b9c-5cda-534d-abab-30ab5d6b553e,,,,high,active
125e2153-5ec4-5f96-b86d-95dd7b9d5e67,ef7f55d2-6426-5c6b-a525-29e747da8d0b,page_flow,,,high,active
12fd69b5-695b-516a-b699-8c11a0eff299,b23f3ca2-973a-561f-8d7b-0808ca9315e8,translation_unit_notation,,,high,active
1606cc19-64a9-5fc9-b11a-a94b9205009e,51f8c9e8-d47d-503f-a0db-38a0564b62f2,copy_error,,,high,active
163478f6-7315-5e3d-b333-98cc69f5b03a,bac586bc-5065-5e98-a3ae-8376ff0851ac,source_correction,B015-SC003: explicit derivative-scoped source correction,applied_in_terminal_b015_candidate,high,active
163f61ef-cb8a-51d4-bb8b-9e877da397e0,b3724ef2-bc44-5024-b4b3-ef8b0669972c,percentage_point_language,,,high,active
181ad8b9-8976-53cd-bc6a-c2f43c538210,e6eef250-171b-5467-b369-df0a8ef36623,component_rights,,,high,active
184fd896-8723-5ee3-bcfc-24e8a07d25a6,ef7f55d2-6426-5c6b-a525-29e747da8d0b,page_flow,,,high,active
188d30ae-5452-57f5-bf1c-4adb418fdcc9,8c17e7f7-9433-5397-8c68-2d980f9a0f73,percentage_point_language,,,high,active
