term_id,source_term,id_ID,scope,status,note
R011-TERM-0001,statistics,statistika,discipline,admitted,Use statistik for a computed statistic or contextual adjective when idiomatic
R011-TERM-0002,data,data,all,admitted,
R011-TERM-0003,treatment group,kelompok perlakuan,study design,admitted,
R011-TERM-0004,control group,kelompok kontrol,study design,admitted,
R011-TERM-0005,summary statistic,statistik ringkasan,descriptive statistics,admitted,
R011-TERM-0006,proportion,proporsi,all,admitted,
R011-TERM-0007,stroke,strok,medical context,admitted,Bentuk baku bahasa Indonesia
R011-TERM-0008,stent,stent,medical context,admitted,Retain established device term and explain at first use
R011-TERM-0009,case study,studi kasus,all,admitted,
R011-TERM-0010,guided practice,latihan terbimbing,pedagogy,admitted,
R011-TERM-0011,exercise,latihan,pedagogy,admitted,
R011-TERM-0012,solution,solusi,pedagogy,admitted,
R011-TERM-0013,case,kasus,data structure,admitted,
R011-TERM-0014,observational unit,unit observasi,data structure,admitted,
R011-TERM-0015,variable,variabel,data structure,admitted,
R011-TERM-0016,data matrix,matriks data,data structure,admitted,
R011-TERM-0017,numerical variable,variabel numerik,variable type,admitted,
R011-TERM-0018,discrete,diskret,variable type,admitted,
R011-TERM-0019,continuous,kontinu,variable type,admitted,
R011-TERM-0020,categorical variable,variabel kategoris,variable type,admitted,
R011-TERM-0021,level,level,categorical variable,admitted,Use for a possible category value as defined in the source
R011-TERM-0022,ordinal,ordinal,variable type,admitted,
R011-TERM-0023,nominal,nominal,variable type,admitted,
R011-TERM-0024,associated,berasosiasi,relationship,admitted,
R011-TERM-0025,positive association,asosiasi positif,relationship,admitted,
R011-TERM-0026,negative association,asosiasi negatif,relationship,admitted,
R011-TERM-0027,explanatory variable,variabel penjelas,study design,admitted,
R011-TERM-0028,response variable,variabel respons,study design,admitted,
R011-TERM-0029,independent variable,variabel bebas,study design synonym,admitted,
R011-TERM-0030,dependent variable,variabel terikat,study design synonym,admitted,
R011-TERM-0031,observational study,studi observasional,study design,admitted,
R011-TERM-0032,cohort,kohort,study design,admitted,
R011-TERM-0033,experiment,eksperimen,study design,admitted,
R011-TERM-0034,randomized experiment,eksperimen acak,study design,admitted,
R011-TERM-0035,placebo,plasebo,study design,admitted,
R011-TERM-0036,population,populasi,sampling,admitted,
R011-TERM-0037,target population,populasi sasaran,sampling,admitted,
R011-TERM-0038,sample,sampel,sampling,admitted,
R011-TERM-0039,sampling,pengambilan sampel,sampling,admitted,
R011-TERM-0040,anecdotal evidence,bukti anekdotal,evidence,admitted,
R011-TERM-0041,bias,bias,sampling,admitted,
R011-TERM-0042,simple random sample,sampel acak sederhana,sampling,admitted,
R011-TERM-0043,non-response rate,tingkat nonrespons,sampling,admitted,
R011-TERM-0044,non-response bias,bias nonrespons,sampling,admitted,
R011-TERM-0045,representative,representatif,sampling,admitted,
R011-TERM-0046,convenience sample,sampel kemudahan,sampling,admitted,
R011-TERM-0047,observational data,data observasional,study design,admitted,
R011-TERM-0048,confounding variable,variabel perancu,study design,admitted,
R011-TERM-0049,prospective study,studi prospektif,study design,admitted,
R011-TERM-0050,retrospective study,studi retrospektif,study design,admitted,
R011-TERM-0051,stratum,stratum,sampling,admitted,Use strata for the plural
R011-TERM-0052,stratified sampling,pengambilan sampel berstrata,sampling,admitted,
R011-TERM-0053,cluster,klaster,sampling,admitted,
R011-TERM-0054,cluster sample,sampel klaster,sampling,admitted,
R011-TERM-0055,cluster sampling,pengambilan sampel klaster,sampling,admitted,
R011-TERM-0056,multistage sample,sampel multitahap,sampling,admitted,
R011-TERM-0057,multistage sampling,pengambilan sampel multitahap,sampling,admitted,
R011-TERM-0058,sample statistic,statistik sampel,inference,admitted,
R011-TERM-0059,population parameter,parameter populasi,inference,admitted,
R011-TERM-0060,scope of inference,ruang lingkup inferensi,inference,admitted,
R011-TERM-0061,treatment,perlakuan,experimental design,admitted,
R011-TERM-0062,randomization,pengacakan,experimental design,admitted,
R011-TERM-0063,random assignment,alokasi acak,experimental design,admitted,
R011-TERM-0064,experimental unit,unit eksperimen,experimental design,admitted,
R011-TERM-0065,replication,replikasi,experimental design,admitted,Independent application of treatment conditions to multiple experimental units; distinguish from repeating an entire study
R011-TERM-0066,blocking,pemblokan,experimental design,admitted,
R011-TERM-0067,block,blok,experimental design,admitted,
R011-TERM-0068,blind,tersamar,experimental design,admitted,
R011-TERM-0069,double-blind,tersamar ganda,experimental design,admitted,
R011-TERM-0070,blinding,penyamaran,experimental design,admitted,
R011-TERM-0071,placebo effect,efek plasebo,experimental design,admitted,Do not imply that observed improvement proves placebo causation
R011-TERM-0072,factor,faktor,experimental design,admitted,
R011-TERM-0073,nonadherence,ketidakpatuhan,study conduct,admitted,
R011-TERM-0074,sham surgery,bedah semu,experimental design and research ethics,admitted,Use for a procedure that mimics surgery without delivering the full therapeutic intervention
R011-TERM-0075,clinical equipoise,ekuipoise klinis,research ethics,admitted,Genuine professional uncertainty about which study arm is preferable
