source_term	target_term	accepted_variant	rejected_or_reserved_form	scope	decision
probability	peluang	probabilitas		individual event/result probability	Prefer peluang; retain probabilitas only in an established compound such as distribusi probabilitas.
probability distribution	distribusi probabilitas	distribusi peluang		general named concept	Retain the already controlled edition term because both forms are established in Indonesian university usage.
conditional probability	peluang bersyarat	probabilitas bersyarat		probability conditioned on information	Use peluang bersyarat.
marginal probability	peluang marginal	probabilitas marginal		marginal event probability	Use peluang marginal.
joint probability	peluang bersama	probabilitas bersama	peluang gabungan for a scalar intersection probability	probability of an intersection	Use peluang bersama to avoid collision with gabungan as set union.
joint probability distribution	distribusi peluang bersama	distribusi peluang gabungan		joint distribution	Use bersama as the edition default; record gabungan as an established Indonesian variant.
General Multiplication Rule	Aturan Perkalian Umum			chapter rule name	Use the natural Indonesian rule name.
tree diagram	diagram pohon			probability diagram	Use diagram pohon.
primary branch	cabang utama		cabang primer	probability tree	Harmonize prose, alt text, and localized figures on cabang utama.
secondary branch	cabang sekunder			probability tree	Use cabang sekunder.
independent	saling independen	saling bebas		binary/symmetric relation	Retain the established edition term; saling bebas is a valid field synonym.
Bayes' Theorem	Teorema Bayes			chapter theorem	Use Teorema Bayes.
Bayesian statistics	statistika Bayes	statistika Bayesian		field name	Use the official-course form statistika Bayes as the edition default.
event	peristiwa	kejadian		probability event	Retain the established edition term; both forms are common in the field witness.
false positive	positif palsu	positif semu		diagnostic testing	Retain positif palsu.
false negative	negatif palsu	negatif semu		diagnostic testing	Retain negatif palsu.
