asset_id	relative_path	mode	bytes	sha256	producer_paths	producer_sha256s	rights	qa_status
R011-ASSET-B005-2.1-019	eoce/mammal_life_spans/mammal_life_spans_scatterplot.pdf	localized-vector-text-and-explicit-vector-points	8269	624084eff9263cd858d6246ced23694de2db43dd019a4a410473c5222e97a505	eoce/mammal_life_spans/mammal_life_spans.R	911111724a2a95c97c18b0ef9e9fa3511d89180bfa4f76d728da399e8a9b27fd	CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-020	eoce/association_plots/association_plots.pdf	exact-copy-no-reader-visible-words	27751	f0346b81af9946622298aec8e8a118099b8f011ef57ab597c48f8c86a0a34ebb			CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-021	eoce/hist_box_match/hist_box_match.pdf	exact-copy-no-reader-visible-words	8060	86cc856f21fd5824fcc33481918abeab2abbdc608152f769d02de9a9d7d853d9			CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-022	eoce/air_quality_durham/air_quality_durham_rel_freq_hist.pdf	localized-vector-text	4599	d2616fba9e528255ad3eeceba71a65564924bcd66fa12058185043f4872144cf	eoce/air_quality_durham/air_quality_durham.R	8ce1352520e4031e50f9a24b857068c1492b681cb00ab1915439e918f2b68659	CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-023	eoce/estimate_mean_median_simple/estimate_mean_median_simple.pdf	exact-copy-no-reader-visible-words	4746	858530cab1c2217139e7b6af69ede18e84a8da681445c2ea76d1b98c5af05a75			CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-024	eoce/hist_vs_box/hist_vs_box.pdf	exact-copy-no-reader-visible-words	5399	edae7d75617032265cdb78d1f938d69838255343407f51346902b14f3931e695			CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-025	eoce/income_coffee_shop/income_coffee_shop.pdf	exact-copy-no-reader-visible-words	7587	ba565257e64ff187c3b1f781f9b8c24adf1e7a6c592d318eee7f2b226d497465			CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-026	eoce/county_commute_times/county_commute_times_hist.pdf	localized-vector-text	5397	91a5e5764da725cf5bd93f3c74096f41c315799e06c89ea58fad18fe5b20bdbc	eoce/county_commute_times/county_commute_times.R	5fea9f007106792e60ff2e26c1ac888f50b5d6815f08476c11705d0285380efb	CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-027	eoce/county_commute_times/county_commute_times_map.pdf	exact-copy-no-reader-visible-words	391930	e2265a9bfa8e267edb11e12f8c0d2642529083ab136e303dff6eb3f86b632dfb			CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-028	eoce/county_hispanic_pop/county_hispanic_pop_hist.pdf	localized-vector-text	4968	d08dba1365476f2e938cf92dbe6d9ec1f86a99714642b463e805a075fe3781fd	eoce/county_hispanic_pop/county_hispanic_pop.R	bb1d0e171735210b4055632196a56f507834698207375814549f31dbcd20f2d3	CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-029	eoce/county_hispanic_pop/county_hispanic_pop_log_hist.pdf	localized-vector-text	5390	c55ad74651d354c07632c23a4d7cb9c955dfdd42a18f0012d7b9ca2d0cc69487	eoce/county_hispanic_pop/county_hispanic_pop.R	bb1d0e171735210b4055632196a56f507834698207375814549f31dbcd20f2d3	CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-030	eoce/county_hispanic_pop/county_hispanic_pop_map.pdf	exact-copy-no-reader-visible-words	388755	9f04cd86c941db6100f00b7e9c03af214997600d0aefc19f6c05a85958faaa8c	eoce/county_hispanic_pop/county_hispanic_pop.R;eoce/county_hispanic_pop/countyMap.R	bb1d0e171735210b4055632196a56f507834698207375814549f31dbcd20f2d3;c35720326cd8a2a84811c3d548e2fccf11d7700dbcf38d5c9fb8e8115c4b828a	CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
R011-ASSET-B005-2.1-031	eoce/reproducing_bacteria/reproducing_bacteria_sketch.pdf	localized-vector-text	4919	e17abbf40e97906ce81b8ce14d5381571d001176ab278571800628ee5363eff3	eoce/reproducing_bacteria/reproducing_bacteria.R	b35e6fdec78f7762e667419ab7f195946aa32599029f577e592fd56d5dac15f8	CC-BY-SA-3.0-repository-figure; external-input-provenance-retained; no-new-raw-package-data	PASS
